Calculated Dose,Regular,APL,Regenboogen
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
43.4,"22.1,8.8","5.0,2.5,2.5,2.5",""
43.4,"22.1,8.8","5.0,2.5,2.5,2.5",""
43.4,"22.1,8.8","5.0,2.5,2.5,2.5",""
43.4,"22.1,8.8","5.0,2.5,2.5,2.5",""
43.4,"22.1,8.8","5.0,2.5,2.5,2.5",""
43.4,"22.1,8.8","5.0,2.5,2.5,2.5",""
43.4,"22.1,8.8","5.0,2.5,2.5,2.5",""
37.1,"22.1","5.0,2.5,2.5,2.5,2.5",""
37.1,"22.1","5.0,2.5,2.5,2.5,2.5",""
37.1,"22.1","5.0,2.5,2.5,2.5,2.5",""
37.1,"22.1","5.0,2.5,2.5,2.5,2.5",""
37.1,"22.1","5.0,2.5,2.5,2.5,2.5",""
37.1,"22.1","5.0,2.5,2.5,2.5,2.5",""
37.1,"22.1","5.0,2.5,2.5,2.5,2.5",""
32.1,"22.1","2.5,2.5,2.5,2.5",""
32.1,"22.1","2.5,2.5,2.5,2.5",""
32.1,"22.1","2.5,2.5,2.5,2.5",""
32.1,"22.1","2.5,2.5,2.5,2.5",""
32.1,"22.1","2.5,2.5,2.5,2.5",""
32.1,"22.1","2.5,2.5,2.5,2.5",""
32.1,"22.1","2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
8.8,"8.8","",""
8.8,"8.8","",""
8.8,"8.8","",""
8.8,"8.8","",""
8.8,"8.8","",""
8.8,"8.8","",""
8.8,"8.8","",""
7.5,"","2.5,2.5,2.5",""
7.5,"","2.5,2.5,2.5",""
7.5,"","2.5,2.5,2.5",""
7.5,"","2.5,2.5,2.5",""
7.5,"","2.5,2.5,2.5",""
7.5,"","2.5,2.5,2.5",""
7.5,"","2.5,2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
5.0,"","2.5,2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
2.5,"","2.5",""
